File Path,Line Number,Function Call
/Users/cba/Desktop/github_datascience_code/download_code/tgsmith61591_skoot/skoot/balance/over.py,72,le.fit(present_classes)
/Users/cba/Desktop/github_datascience_code/download_code/tgsmith61591_skoot/skoot/balance/over.py,73,y_transform = le.transform(y)  # make numeric
/Users/cba/Desktop/github_datascience_code/download_code/tgsmith61591_skoot/skoot/balance/over.py,84,label_transform = le.transform([label])[0]
/Users/cba/Desktop/github_datascience_code/download_code/tgsmith61591_skoot/skoot/model_validation/tests/test_validators.py,15,DistHypothesisValidator().fit_transform(X)
/Users/cba/Desktop/github_datascience_code/download_code/tgsmith61591_skoot/skoot/model_validation/tests/test_validators.py,16,DistHypothesisValidator().fit_transform(
/Users/cba/Desktop/github_datascience_code/download_code/tgsmith61591_skoot/skoot/model_validation/tests/test_validators.py,21,"DistHypothesisValidator(action=""raise"").fit(X).transform,"
/Users/cba/Desktop/github_datascience_code/download_code/tgsmith61591_skoot/skoot/model_validation/tests/test_validators.py,26,CustomValidator().fit_transform(X)  # works when func=None
/Users/cba/Desktop/github_datascience_code/download_code/tgsmith61591_skoot/skoot/model_validation/tests/test_validators.py,30,CustomValidator(func=sub_2).fit_transform(X)
/Users/cba/Desktop/github_datascience_code/download_code/tgsmith61591_skoot/skoot/model_validation/tests/test_validators.py,35,"func=sub_2).fit(X).transform,"
/Users/cba/Desktop/github_datascience_code/download_code/tgsmith61591_skoot/skoot/model_validation/tests/test_validators.py,53,val.fit(train).transform(test)
/Users/cba/Desktop/github_datascience_code/download_code/tgsmith61591_skoot/skoot/model_validation/tests/test_validators.py,64,val.transform(t2)
/Users/cba/Desktop/github_datascience_code/download_code/tgsmith61591_skoot/skoot/utils/testing.py,78,"est.fit(X, y, **fit_kwargs)"
/Users/cba/Desktop/github_datascience_code/download_code/tgsmith61591_skoot/skoot/utils/testing.py,79,"trans1 = est.transform(X) if hasattr(est, ""transform"") \"
/Users/cba/Desktop/github_datascience_code/download_code/tgsmith61591_skoot/skoot/utils/testing.py,80,else est.predict(X)
/Users/cba/Desktop/github_datascience_code/download_code/tgsmith61591_skoot/skoot/utils/testing.py,85,"trans2 = est_loaded.transform(X) if hasattr(est_loaded, ""transform"") \"
/Users/cba/Desktop/github_datascience_code/download_code/tgsmith61591_skoot/skoot/utils/testing.py,86,else est_loaded.predict(X)
/Users/cba/Desktop/github_datascience_code/download_code/tgsmith61591_skoot/skoot/utils/testing.py,169,"est.fit(X, y, **fit_kwargs)"
/Users/cba/Desktop/github_datascience_code/download_code/tgsmith61591_skoot/skoot/utils/testing.py,170,array_transform = est.transform(X)
/Users/cba/Desktop/github_datascience_code/download_code/tgsmith61591_skoot/skoot/utils/testing.py,177,df_transform = est.transform(X)
/Users/cba/Desktop/github_datascience_code/download_code/tgsmith61591_skoot/skoot/utils/profiling.py,43,>>> scl = SelectiveStandardScaler().fit(iris)
/Users/cba/Desktop/github_datascience_code/download_code/tgsmith61591_skoot/skoot/utils/profiling.py,54,... ]).fit(iris)
/Users/cba/Desktop/github_datascience_code/download_code/tgsmith61591_skoot/skoot/feature_selection/combos.py,54,>>> X_transform = filterer.fit_transform(X)
/Users/cba/Desktop/github_datascience_code/download_code/tgsmith61591_skoot/skoot/feature_selection/select.py,62,>>> X_transform = dropper.fit_transform(X)
/Users/cba/Desktop/github_datascience_code/download_code/tgsmith61591_skoot/skoot/feature_selection/select.py,156,>>> X_transform = dropper.fit_transform(X)
/Users/cba/Desktop/github_datascience_code/download_code/tgsmith61591_skoot/skoot/feature_selection/select.py,224,>>> mcf.fit_transform(X).head()
/Users/cba/Desktop/github_datascience_code/download_code/tgsmith61591_skoot/skoot/feature_selection/select.py,393,>>> flt.fit_transform(X)
/Users/cba/Desktop/github_datascience_code/download_code/tgsmith61591_skoot/skoot/feature_selection/select.py,407,>>> nzv.fit_transform(X)
/Users/cba/Desktop/github_datascience_code/download_code/tgsmith61591_skoot/skoot/feature_selection/tests/test_select.py,33,trans = flt.fit_transform(X)
/Users/cba/Desktop/github_datascience_code/download_code/tgsmith61591_skoot/skoot/feature_selection/tests/test_select.py,49,trans = nzv.fit_transform(X)
/Users/cba/Desktop/github_datascience_code/download_code/tgsmith61591_skoot/skoot/feature_selection/tests/test_select.py,79,trans = mcf.fit_transform(iris)
/Users/cba/Desktop/github_datascience_code/download_code/tgsmith61591_skoot/skoot/feature_selection/tests/test_select.py,89,trans = mcf.fit_transform(iris)
/Users/cba/Desktop/github_datascience_code/download_code/tgsmith61591_skoot/skoot/feature_selection/tests/test_select.py,117,trans = dpr.fit_transform(iris)  # type: pd.DataFrame
/Users/cba/Desktop/github_datascience_code/download_code/tgsmith61591_skoot/skoot/feature_selection/tests/test_select.py,127,trans = dpr.fit_transform(iris)
/Users/cba/Desktop/github_datascience_code/download_code/tgsmith61591_skoot/skoot/feature_selection/tests/test_select.py,144,trans = sps_filter.fit_transform(sparse)
/Users/cba/Desktop/github_datascience_code/download_code/tgsmith61591_skoot/skoot/feature_selection/tests/test_select.py,153,trans = sps_filter.fit_transform(iris)
/Users/cba/Desktop/github_datascience_code/download_code/tgsmith61591_skoot/skoot/feature_selection/tests/test_combos.py,176,lcf = LinearCombinationFilter().fit(Z)
/Users/cba/Desktop/github_datascience_code/download_code/tgsmith61591_skoot/skoot/feature_selection/tests/test_combos.py,179,z = lcf.transform(Z)
/Users/cba/Desktop/github_datascience_code/download_code/tgsmith61591_skoot/skoot/feature_selection/tests/test_combos.py,184,"lcf = LinearCombinationFilter(cols=['A', 'B']).fit(Z)"
/Users/cba/Desktop/github_datascience_code/download_code/tgsmith61591_skoot/skoot/feature_selection/tests/test_combos.py,186,assert Z.equals(lcf.transform(Z))
/Users/cba/Desktop/github_datascience_code/download_code/tgsmith61591_skoot/skoot/preprocessing/binning.py,235,>>> trans = binner.fit_transform(iris)
/Users/cba/Desktop/github_datascience_code/download_code/tgsmith61591_skoot/skoot/preprocessing/encode.py,43,le.transform(vec[~missing_mask])
/Users/cba/Desktop/github_datascience_code/download_code/tgsmith61591_skoot/skoot/preprocessing/encode.py,55,"vec_trans = le.transform(vec)  # Union[str, int] -> int"
/Users/cba/Desktop/github_datascience_code/download_code/tgsmith61591_skoot/skoot/preprocessing/encode.py,71,trans = le.fit_transform(vec)
/Users/cba/Desktop/github_datascience_code/download_code/tgsmith61591_skoot/skoot/preprocessing/encode.py,192,handle_unknown=handle).fit(X[cols])
/Users/cba/Desktop/github_datascience_code/download_code/tgsmith61591_skoot/skoot/preprocessing/encode.py,256,"ohe_trans = pd.DataFrame.from_records(data=ohe.transform(X[cols]),"
/Users/cba/Desktop/github_datascience_code/download_code/tgsmith61591_skoot/skoot/preprocessing/dates.py,97,>>> converter.fit_transform(df)
/Users/cba/Desktop/github_datascience_code/download_code/tgsmith61591_skoot/skoot/preprocessing/dates.py,152,"self.fit_transform(X, y)"
/Users/cba/Desktop/github_datascience_code/download_code/tgsmith61591_skoot/skoot/preprocessing/tests/test_binning.py,17,binner.fit(iris)
/Users/cba/Desktop/github_datascience_code/download_code/tgsmith61591_skoot/skoot/preprocessing/tests/test_binning.py,18,trans = binner.transform(iris)
/Users/cba/Desktop/github_datascience_code/download_code/tgsmith61591_skoot/skoot/preprocessing/tests/test_binning.py,32,trans2 = binner.transform(iris)
/Users/cba/Desktop/github_datascience_code/download_code/tgsmith61591_skoot/skoot/preprocessing/tests/test_binning.py,47,binner.fit(iris)
/Users/cba/Desktop/github_datascience_code/download_code/tgsmith61591_skoot/skoot/preprocessing/tests/test_binning.py,48,trans = binner.transform(iris)
/Users/cba/Desktop/github_datascience_code/download_code/tgsmith61591_skoot/skoot/preprocessing/tests/test_binning.py,63,trans2 = binner.transform(iris)
/Users/cba/Desktop/github_datascience_code/download_code/tgsmith61591_skoot/skoot/preprocessing/tests/test_binning.py,75,binner.fit(iris)
/Users/cba/Desktop/github_datascience_code/download_code/tgsmith61591_skoot/skoot/preprocessing/tests/test_binning.py,76,trans = binner.transform(iris)
/Users/cba/Desktop/github_datascience_code/download_code/tgsmith61591_skoot/skoot/preprocessing/tests/test_skewness.py,63,trans = bc.fit_transform(X)
/Users/cba/Desktop/github_datascience_code/download_code/tgsmith61591_skoot/skoot/preprocessing/tests/test_skewness.py,74,trans = yj.fit_transform(X)
/Users/cba/Desktop/github_datascience_code/download_code/tgsmith61591_skoot/skoot/preprocessing/tests/test_skewness.py,89,YeoJohnsonTransformer().fit(x)
/Users/cba/Desktop/github_datascience_code/download_code/tgsmith61591_skoot/skoot/preprocessing/tests/test_dates.py,31,trans = converter.fit_transform(df)
/Users/cba/Desktop/github_datascience_code/download_code/tgsmith61591_skoot/skoot/preprocessing/tests/test_dates.py,52,"DateTransformer(cols=[""a""], allowed_types=(""int64"")).fit(df)"
/Users/cba/Desktop/github_datascience_code/download_code/tgsmith61591_skoot/skoot/preprocessing/tests/test_scale.py,48,"cols=cols, trans_col_name=[cols[0]]).fit(original)"
/Users/cba/Desktop/github_datascience_code/download_code/tgsmith61591_skoot/skoot/preprocessing/tests/test_scale.py,49,transformed = transformer.transform(original)[original.columns]
/Users/cba/Desktop/github_datascience_code/download_code/tgsmith61591_skoot/skoot/preprocessing/tests/test_scale.py,65,rb_scale = RobustScaler().fit(X)
/Users/cba/Desktop/github_datascience_code/download_code/tgsmith61591_skoot/skoot/preprocessing/tests/test_scale.py,66,trans = SelectiveRobustScaler().fit(X)
/Users/cba/Desktop/github_datascience_code/download_code/tgsmith61591_skoot/skoot/preprocessing/tests/test_scale.py,68,"assert_array_almost_equal(rb_scale.fit_transform(X),"
/Users/cba/Desktop/github_datascience_code/download_code/tgsmith61591_skoot/skoot/preprocessing/tests/test_scale.py,69,trans.transform(X).values)
/Users/cba/Desktop/github_datascience_code/download_code/tgsmith61591_skoot/skoot/preprocessing/tests/test_schema.py,12,norm = SchemaNormalizer(schema).fit(X)
/Users/cba/Desktop/github_datascience_code/download_code/tgsmith61591_skoot/skoot/preprocessing/tests/test_schema.py,13,trans = norm.transform(X)
/Users/cba/Desktop/github_datascience_code/download_code/tgsmith61591_skoot/skoot/preprocessing/tests/test_encode.py,23,encoder.fit(iris)
/Users/cba/Desktop/github_datascience_code/download_code/tgsmith61591_skoot/skoot/preprocessing/tests/test_encode.py,34,trans = encoder.transform(iris)
/Users/cba/Desktop/github_datascience_code/download_code/tgsmith61591_skoot/skoot/preprocessing/tests/test_encode.py,43,le.fit(vec1)
/Users/cba/Desktop/github_datascience_code/download_code/tgsmith61591_skoot/skoot/preprocessing/tests/test_encode.py,71,encoder.fit(iris)
/Users/cba/Desktop/github_datascience_code/download_code/tgsmith61591_skoot/skoot/preprocessing/tests/test_encode.py,79,trans = encoder.transform(df)
/Users/cba/Desktop/github_datascience_code/download_code/tgsmith61591_skoot/skoot/decomposition/tests/test_decompose.py,31,"trans_col_name=""PC"").fit(original)"
/Users/cba/Desktop/github_datascience_code/download_code/tgsmith61591_skoot/skoot/decomposition/tests/test_decompose.py,32,transformed = transformer.transform(original)
/Users/cba/Desktop/github_datascience_code/download_code/tgsmith61591_skoot/skoot/decomposition/tests/test_decompose.py,66,"trans_col_name=""Concept"").fit(original)"
/Users/cba/Desktop/github_datascience_code/download_code/tgsmith61591_skoot/skoot/decomposition/tests/test_decompose.py,67,transformed = transformer.transform(original)
/Users/cba/Desktop/github_datascience_code/download_code/tgsmith61591_skoot/skoot/decomposition/tests/test_decompose.py,89,trans = nmf.fit_transform(X)
/Users/cba/Desktop/github_datascience_code/download_code/tgsmith61591_skoot/skoot/decomposition/tests/test_decompose.py,102,trans = kpca.fit_transform(X)
/Users/cba/Desktop/github_datascience_code/download_code/tgsmith61591_skoot/skoot/decomposition/tests/test_decompose.py,115,trans = ipca.fit_transform(X)
/Users/cba/Desktop/github_datascience_code/download_code/tgsmith61591_skoot/examples/ex_anonymous_transformer.py,57,"pipe.fit(X_train, y_train)"
/Users/cba/Desktop/github_datascience_code/download_code/tgsmith61591_skoot/examples/ex_anonymous_transformer.py,59,print(pipe.transform(X_test))
/Users/cba/Desktop/github_datascience_code/download_code/tgsmith61591_skoot/examples/feature_extraction/ex_date_extraction.py,36,print(DateFactorizer(cols=['time']).fit_transform(df))
/Users/cba/Desktop/github_datascience_code/download_code/tgsmith61591_skoot/examples/feature_extraction/ex_date_extraction.py,42,"""hour"", ""minute"", ""second"")).fit_transform(df))"
/Users/cba/Desktop/github_datascience_code/download_code/tgsmith61591_skoot/examples/feature_extraction/ex_date_extraction.py,49,"""hour"", ""minute"", ""second"")).fit_transform(df))"
/Users/cba/Desktop/github_datascience_code/download_code/tgsmith61591_skoot/examples/model_validation/ex_hypothesis_validation.py,43,"pipe.fit(X_train, y_train)"
/Users/cba/Desktop/github_datascience_code/download_code/tgsmith61591_skoot/examples/model_validation/ex_hypothesis_validation.py,44,pipe.predict(X_train)
/Users/cba/Desktop/github_datascience_code/download_code/tgsmith61591_skoot/examples/model_validation/ex_hypothesis_validation.py,56,pipe.predict(X_test)
/Users/cba/Desktop/github_datascience_code/download_code/tgsmith61591_skoot/examples/utils/ex_profiling.py,48,"pipe.fit(X_train, y_train)"
/Users/cba/Desktop/github_datascience_code/download_code/tgsmith61591_skoot/examples/preprocessing/ex_one_hot.py,39,"encoder.fit(X_train, y_train)"
/Users/cba/Desktop/github_datascience_code/download_code/tgsmith61591_skoot/examples/preprocessing/ex_one_hot.py,44,print(encoder.transform(X_test).head())
/Users/cba/Desktop/github_datascience_code/download_code/tgsmith61591_skoot/examples/preprocessing/ex_one_hot.py,50,trans = encoder.transform(pd.DataFrame([test_row]))
/Users/cba/Desktop/github_datascience_code/download_code/tgsmith61591_skoot/examples/preprocessing/ex_date_transformation.py,36,"print(DateTransformer(cols=['b', 'c']).fit_transform(df))"
/Users/cba/Desktop/github_datascience_code/download_code/tgsmith61591_skoot/examples/preprocessing/ex_date_transformation.py,41,"date_format=""%m/%d/%Y"").fit_transform(df))"
/Users/cba/Desktop/github_datascience_code/download_code/tgsmith61591_skoot/examples/preprocessing/ex_date_transformation.py,48,allowed_types=allowed).fit_transform(df))
/Users/cba/Desktop/github_datascience_code/download_code/tgsmith61591_skoot/examples/preprocessing/ex_binning.py,28,print(binner.fit_transform(iris).head())
/Users/cba/Desktop/github_datascience_code/download_code/talhahascelik_python_stepwiseSelection/stepwiseSelection.py,129,"regressor = sm.OLS(y, X).fit()"
/Users/cba/Desktop/github_datascience_code/download_code/talhahascelik_python_stepwiseSelection/stepwiseSelection.py,131,"regressor = sm.Logit(y, X).fit()"
/Users/cba/Desktop/github_datascience_code/download_code/talhahascelik_python_stepwiseSelection/stepwiseSelection.py,135,"regressor = sm.OLS(y, X).fit()"
/Users/cba/Desktop/github_datascience_code/download_code/talhahascelik_python_stepwiseSelection/stepwiseSelection.py,242,"regressor = sm.OLS(y, X).fit()"
/Users/cba/Desktop/github_datascience_code/download_code/talhahascelik_python_stepwiseSelection/stepwiseSelection.py,244,"regressor = sm.Logit(y, X).fit()"
/Users/cba/Desktop/github_datascience_code/download_code/talhahascelik_python_stepwiseSelection/stepwiseSelection.py,248,"regressor = sm.OLS(y, X).fit()"
/Users/cba/Desktop/github_datascience_code/download_code/formlio_forml/tests/conftest.py,84,return self.predict(features[0])
/Users/cba/Desktop/github_datascience_code/download_code/formlio_forml/tests/pipeline/wrap/test_actor.py,118,"return wrap.Actor.type(train='fit', apply=lambda r, f: r.predict(f) or 'N/A')(origin).builder(case=True)"
/Users/cba/Desktop/github_datascience_code/download_code/formlio_forml/forml/evaluation/_stage.py,48,"value = self._metric.score(_api.Outcome(head.label.publisher, pipeline.apply.publisher))"
/Users/cba/Desktop/github_datascience_code/download_code/formlio_forml/forml/evaluation/_stage.py,66,value = self._metric.score(*outcomes)
/Users/cba/Desktop/github_datascience_code/download_code/formlio_forml/tutorials/titanic/titanic/pipeline/preprocessing.py,103,encoder.fit(features[columns])
/Users/cba/Desktop/github_datascience_code/download_code/formlio_forml/tutorials/titanic/titanic/pipeline/preprocessing.py,113,onehot = pandas.DataFrame(state.transform(features[columns]))
/Users/cba/Desktop/github_datascience_code/download_code/AMinerOpen_prediction_api/src/classifier.py,85,"ret[level_name] = self._clf[i].predict(text, ntop)"
/Users/cba/Desktop/github_datascience_code/download_code/AMinerOpen_prediction_api/src/gender.py,6,">>> print(g.predict(name='Jie Tang', org='Tsinghua University', image_url='http://www.cs.tsinghua.edu.cn/publish/cs/4616/20110330101939787483549/20190321114128398502759.jpg'))"
/Users/cba/Desktop/github_datascience_code/download_code/AMinerOpen_prediction_api/src/jobhopping.py,6,>>> print(j.predict('tsinghua university'))
/Users/cba/Desktop/github_datascience_code/download_code/AMinerOpen_prediction_api/src/tors.py,6,">>> print(identity.predict(pc=10, cn=10000, hi=40, gi=0, year_range=14))"
/Users/cba/Desktop/github_datascience_code/download_code/AMinerOpen_prediction_api/src/tors.py,47,output = self._md.predict(input_fn=lambda: self._pre_progress(input))
/Users/cba/Desktop/github_datascience_code/download_code/rnorm_book_sample/code/chapter6/cv.py,22,"lr.fit(X_train, y_train, max_iter=100)"
/Users/cba/Desktop/github_datascience_code/download_code/rnorm_book_sample/code/chapter6/cv.py,24,y_hat = lr.predict(X_test)
/Users/cba/Desktop/github_datascience_code/download_code/rnorm_book_sample/code/chapter6/test_gbm.py,26,gbm.fit(max_tree=200)
/Users/cba/Desktop/github_datascience_code/download_code/rnorm_book_sample/code/chapter6/xgb.py,32,pred = model.predict(dtest)
/Users/cba/Desktop/github_datascience_code/download_code/rnorm_book_sample/code/chapter6/linear_regression_ad.py,22,y_hat = self.predict(self.x)
/Users/cba/Desktop/github_datascience_code/download_code/rnorm_book_sample/code/chapter6/gbm.py,49,y_hat += np.array(tree.predict(x_new))
/Users/cba/Desktop/github_datascience_code/download_code/rnorm_book_sample/code/chapter6/gbm.py,85,y_hat = self.predict(self.x_test)
/Users/cba/Desktop/github_datascience_code/download_code/rnorm_book_sample/code/chapter5/lasso.py,17,x_transformed = self.scaler.fit_transform(x)
/Users/cba/Desktop/github_datascience_code/download_code/rnorm_book_sample/code/chapter5/lasso.py,27,new_x_transformed = self.scaler.transform(new_x)
/Users/cba/Desktop/github_datascience_code/download_code/rnorm_book_sample/code/chapter4/ridge_boston.py,7,"ridge.fit(X, y)"
/Users/cba/Desktop/github_datascience_code/download_code/rnorm_book_sample/code/chapter4/ridge_boston.py,9,print(ridge.predict(X)[:5])
/Users/cba/Desktop/github_datascience_code/download_code/rnorm_book_sample/code/chapter4/linear_regression_boston.py,7,"lr.fit(X, y)"
/Users/cba/Desktop/github_datascience_code/download_code/rnorm_book_sample/code/chapter4/linear_regression_boston.py,9,print(lr.predict(X)[:5])
/Users/cba/Desktop/github_datascience_code/download_code/rnorm_book_sample/code/chapter4/linear_regression_boston.py,13,"reg = LinearRegression().fit(X, y)"
/Users/cba/Desktop/github_datascience_code/download_code/rnorm_book_sample/code/chapter4/linear_regression_boston.py,15,print(reg.predict(X)[:5])
/Users/cba/Desktop/github_datascience_code/download_code/rnorm_book_sample/code/chapter4/linear_regression_ridge.py,18,x_transformed = self.scaler.fit_transform(x)
/Users/cba/Desktop/github_datascience_code/download_code/rnorm_book_sample/code/chapter4/linear_regression_ridge.py,27,new_x_transformed = self.scaler.transform(x)
/Users/cba/Desktop/github_datascience_code/download_code/DLLXW_data-science-competition/heywhale/LM-Pretrain-Finetune/pretrain/megatron/data/autoaugment.py,234,"""shearX"": lambda img, magnitude: img.transform("
/Users/cba/Desktop/github_datascience_code/download_code/DLLXW_data-science-competition/heywhale/LM-Pretrain-Finetune/pretrain/megatron/data/autoaugment.py,241,"""shearY"": lambda img, magnitude: img.transform("
/Users/cba/Desktop/github_datascience_code/download_code/DLLXW_data-science-competition/heywhale/LM-Pretrain-Finetune/pretrain/megatron/data/autoaugment.py,248,"""translateX"": lambda img, magnitude: img.transform("
/Users/cba/Desktop/github_datascience_code/download_code/DLLXW_data-science-competition/heywhale/LM-Pretrain-Finetune/pretrain/megatron/data/autoaugment.py,261,"""translateY"": lambda img, magnitude: img.transform("
/Users/cba/Desktop/github_datascience_code/download_code/DLLXW_data-science-competition/kaggle/shopee/train_swin.py,36,df['label_group'] = labelencoder.fit_transform(df['label_group'])
/Users/cba/Desktop/github_datascience_code/download_code/DLLXW_data-science-competition/kaggle/shopee/train.py,38,df['label_group'] = labelencoder.fit_transform(df['label_group'])
/Users/cba/Desktop/github_datascience_code/download_code/DLLXW_data-science-competition/kaggle/shopee/utils-shopee/dataset.py,28,augmented = self.transform(image=image)
/Users/cba/Desktop/github_datascience_code/download_code/DLLXW_data-science-competition/else/wechat2021/deepfm.py,50,data[feat] = lbe.fit_transform(data[feat])
/Users/cba/Desktop/github_datascience_code/download_code/DLLXW_data-science-competition/else/wechat2021/deepfm.py,52,data[dense_features] = mms.fit_transform(data[dense_features])
/Users/cba/Desktop/github_datascience_code/download_code/DLLXW_data-science-competition/else/wechat2021/deepfm.py,94,"history = model.fit(train_model_input, train[target].values, batch_size=1024,"
/Users/cba/Desktop/github_datascience_code/download_code/DLLXW_data-science-competition/else/wechat2021/deepfm.py,97,"pred_ans = model.predict(test_model_input, 128)"
/Users/cba/Desktop/github_datascience_code/download_code/DLLXW_data-science-competition/else/wechat2021/deep_model.py,175,"pred_ans = self.predict(x, batch_size)"
/Users/cba/Desktop/github_datascience_code/download_code/DLLXW_data-science-competition/else/wechat2021/PCA.py,12,feed_embedd=model_pca.fit_transform(np.array(feed_embedd))
/Users/cba/Desktop/github_datascience_code/download_code/DLLXW_data-science-competition/else/wechat2021/lgb.py,87,return self.predict(df_test)
/Users/cba/Desktop/github_datascience_code/download_code/DLLXW_data-science-competition/else/wechat2021/lgb.py,93,logits = self.model.predict(test_x)
/Users/cba/Desktop/github_datascience_code/download_code/DLLXW_data-science-competition/else/wechat2021/lgb.py,99,logits= self.model.predict(test_x)
