File Path,Line Number,Import Statement
/Users/cba/Desktop/github_datascience_code/download_code/tgsmith61591_skoot/skoot/preprocessing/schema.py,5,check_is_fitted
/Users/cba/Desktop/github_datascience_code/download_code/tgsmith61591_skoot/skoot/preprocessing/tests/test_skewness.py,5,check_random_state
/Users/cba/Desktop/github_datascience_code/download_code/tgsmith61591_skoot/skoot/preprocessing/tests/test_scale.py,5,RobustScaler
/Users/cba/Desktop/github_datascience_code/download_code/tgsmith61591_skoot/skoot/preprocessing/tests/test_encode.py,11,LabelEncoder
/Users/cba/Desktop/github_datascience_code/download_code/tgsmith61591_skoot/skoot/decomposition/decompose.py,10,check_array
/Users/cba/Desktop/github_datascience_code/download_code/tgsmith61591_skoot/skoot/decomposition/decompose.py,11,
/Users/cba/Desktop/github_datascience_code/download_code/tgsmith61591_skoot/skoot/decomposition/decompose.py,109,make_classification
/Users/cba/Desktop/github_datascience_code/download_code/tgsmith61591_skoot/skoot/decomposition/_dqrutl.py,9,check_array
/Users/cba/Desktop/github_datascience_code/download_code/tgsmith61591_skoot/skoot/decomposition/tests/test_qr.py,8,load_iris
/Users/cba/Desktop/github_datascience_code/download_code/tgsmith61591_skoot/examples/ex_anonymous_transformer.py,30,train_test_split
/Users/cba/Desktop/github_datascience_code/download_code/tgsmith61591_skoot/examples/ex_anonymous_transformer.py,31,Pipeline
/Users/cba/Desktop/github_datascience_code/download_code/tgsmith61591_skoot/examples/balance/ex_undersample.py,20,make_classification
/Users/cba/Desktop/github_datascience_code/download_code/tgsmith61591_skoot/examples/balance/ex_smote.py,20,make_blobs
/Users/cba/Desktop/github_datascience_code/download_code/tgsmith61591_skoot/examples/balance/ex_smote.py,21,check_random_state
/Users/cba/Desktop/github_datascience_code/download_code/tgsmith61591_skoot/examples/balance/ex_oversample.py,18,make_classification
/Users/cba/Desktop/github_datascience_code/download_code/tgsmith61591_skoot/examples/model_validation/ex_hypothesis_validation.py,17,make_classification
/Users/cba/Desktop/github_datascience_code/download_code/tgsmith61591_skoot/examples/model_validation/ex_hypothesis_validation.py,18,train_test_split
/Users/cba/Desktop/github_datascience_code/download_code/tgsmith61591_skoot/examples/model_validation/ex_hypothesis_validation.py,19,StandardScaler
/Users/cba/Desktop/github_datascience_code/download_code/tgsmith61591_skoot/examples/model_validation/ex_hypothesis_validation.py,20,LogisticRegression
/Users/cba/Desktop/github_datascience_code/download_code/tgsmith61591_skoot/examples/model_validation/ex_hypothesis_validation.py,21,make_pipeline
/Users/cba/Desktop/github_datascience_code/download_code/tgsmith61591_skoot/examples/utils/ex_profiling.py,23,RandomForestClassifier
/Users/cba/Desktop/github_datascience_code/download_code/tgsmith61591_skoot/examples/utils/ex_profiling.py,24,Pipeline
/Users/cba/Desktop/github_datascience_code/download_code/tgsmith61591_skoot/examples/utils/ex_profiling.py,25,train_test_split
/Users/cba/Desktop/github_datascience_code/download_code/tgsmith61591_skoot/examples/preprocessing/ex_one_hot.py,21,train_test_split
/Users/cba/Desktop/github_datascience_code/download_code/tgsmith61591_skoot/doc/conf.py,19,u
/Users/cba/Desktop/github_datascience_code/download_code/formlio_forml/tests/pipeline/ensemble/test_stacking.py,28,s
/Users/cba/Desktop/github_datascience_code/download_code/formlio_forml/tests/pipeline/wrap/test_auto.py,130,GradientBoostingClassifier
/Users/cba/Desktop/github_datascience_code/download_code/formlio_forml/tests/pipeline/wrap/test_auto.py,133,GradientBoostingClassifier
/Users/cba/Desktop/github_datascience_code/download_code/formlio_forml/tests/pipeline/wrap/test_auto.py,146,sklearn.ensemble
/Users/cba/Desktop/github_datascience_code/download_code/formlio_forml/tests/pipeline/wrap/test_auto.py,149,sklearn.ensemble
/Users/cba/Desktop/github_datascience_code/download_code/formlio_forml/forml/pipeline/wrap/_auto.py,261,GradientBoostingClassifier
/Users/cba/Desktop/github_datascience_code/download_code/formlio_forml/forml/pipeline/wrap/_auto.py,269,*
/Users/cba/Desktop/github_datascience_code/download_code/formlio_forml/forml/pipeline/wrap/_auto.py,279,RandomForestClassifier
/Users/cba/Desktop/github_datascience_code/download_code/formlio_forml/tutorials/titanic/titanic/pipeline/__init__.py,33,RandomForestClassifier
/Users/cba/Desktop/github_datascience_code/download_code/formlio_forml/tutorials/titanic/titanic/pipeline/__init__.py,34,LogisticRegression
/Users/cba/Desktop/github_datascience_code/download_code/formlio_forml/tutorials/titanic/titanic/pipeline/__init__.py,35,GaussianNB
/Users/cba/Desktop/github_datascience_code/download_code/formlio_forml/tutorials/titanic/titanic/pipeline/__init__.py,36,KNeighborsClassifier
/Users/cba/Desktop/github_datascience_code/download_code/formlio_forml/tutorials/titanic/titanic/pipeline/__init__.py,37,StandardScaler
/Users/cba/Desktop/github_datascience_code/download_code/formlio_forml/tutorials/titanic/titanic/pipeline/__init__.py,38,SVC
/Users/cba/Desktop/github_datascience_code/download_code/formlio_forml/tutorials/titanic/titanic/pipeline/__init__.py,39,DecisionTreeClassifier
/Users/cba/Desktop/github_datascience_code/download_code/formlio_forml/tutorials/demos/custom.py,30,LogisticRegression
/Users/cba/Desktop/github_datascience_code/download_code/formlio_forml/tutorials/demos/mini.py,25,RandomForestClassifier
/Users/cba/Desktop/github_datascience_code/download_code/formlio_forml/tutorials/demos/ensemble.py,27,RandomForestClassifier
/Users/cba/Desktop/github_datascience_code/download_code/formlio_forml/tutorials/demos/ensemble.py,28,SimpleImputer
/Users/cba/Desktop/github_datascience_code/download_code/formlio_forml/tutorials/demos/ensemble.py,29,LogisticRegression
/Users/cba/Desktop/github_datascience_code/download_code/formlio_forml/tutorials/demos/simple.py,25,SimpleImputer
/Users/cba/Desktop/github_datascience_code/download_code/formlio_forml/tutorials/demos/simple.py,26,LogisticRegression
/Users/cba/Desktop/github_datascience_code/download_code/formlio_forml/tutorials/demos/complex.py,27,RandomForestClassifier
/Users/cba/Desktop/github_datascience_code/download_code/formlio_forml/tutorials/demos/complex.py,28,SimpleImputer
/Users/cba/Desktop/github_datascience_code/download_code/formlio_forml/tutorials/demos/complex.py,29,LogisticRegression
/Users/cba/Desktop/github_datascience_code/download_code/formlio_forml/tutorials/demos/complex.py,30,BernoulliNB
/Users/cba/Desktop/github_datascience_code/download_code/formlio_forml/tutorials/demos/complex.py,31,OneHotEncoder
/Users/cba/Desktop/github_datascience_code/download_code/AMinerOpen_prediction_api/src/aiclassifier.py,13,joblib
/Users/cba/Desktop/github_datascience_code/download_code/rnorm_book_sample/code/chapter6/util.py,1,mean_squared_error
/Users/cba/Desktop/github_datascience_code/download_code/rnorm_book_sample/code/chapter6/cv.py,4,KFold
/Users/cba/Desktop/github_datascience_code/download_code/rnorm_book_sample/code/chapter6/cv.py,5,load_boston
/Users/cba/Desktop/github_datascience_code/download_code/rnorm_book_sample/code/chapter6/cv.py,6,mean_squared_error
/Users/cba/Desktop/github_datascience_code/download_code/rnorm_book_sample/code/chapter6/test_gbm.py,4,shuffle
/Users/cba/Desktop/github_datascience_code/download_code/rnorm_book_sample/code/chapter6/test_gbm.py,5,mean_squared_error
/Users/cba/Desktop/github_datascience_code/download_code/rnorm_book_sample/code/chapter6/xgb.py,3,shuffle
/Users/cba/Desktop/github_datascience_code/download_code/rnorm_book_sample/code/chapter6/xgb.py,4,mean_squared_error
/Users/cba/Desktop/github_datascience_code/download_code/rnorm_book_sample/code/chapter5/lasso.py,2,StandardScaler
/Users/cba/Desktop/github_datascience_code/download_code/rnorm_book_sample/code/chapter4/ridge_boston.py,1,load_boston
/Users/cba/Desktop/github_datascience_code/download_code/rnorm_book_sample/code/chapter4/linear_regression_boston.py,1,load_boston
/Users/cba/Desktop/github_datascience_code/download_code/rnorm_book_sample/code/chapter4/linear_regression_boston.py,12,LinearRegression
/Users/cba/Desktop/github_datascience_code/download_code/rnorm_book_sample/code/chapter4/linear_regression_ridge.py,2,StandardScaler
/Users/cba/Desktop/github_datascience_code/download_code/DLLXW_data-science-competition/heywhale/gaiic2022/code/qyl_online/train_cnn_lstm_attr.py,8,train_test_split
/Users/cba/Desktop/github_datascience_code/download_code/DLLXW_data-science-competition/heywhale/gaiic2022/code/qyl_online/train_cnn_lstm_attr.py,12,KFold
/Users/cba/Desktop/github_datascience_code/download_code/DLLXW_data-science-competition/heywhale/gaiic2022/code/qyl_online/train_bert_attr.py,8,train_test_split
/Users/cba/Desktop/github_datascience_code/download_code/DLLXW_data-science-competition/heywhale/gaiic2022/code/qyl_online/train_bert_attr.py,12,KFold
/Users/cba/Desktop/github_datascience_code/download_code/DLLXW_data-science-competition/heywhale/gaiic2022/code/qyl_online/train_bert_tuwen.py,5,KFold
/Users/cba/Desktop/github_datascience_code/download_code/DLLXW_data-science-competition/heywhale/gaiic2022/code/qyl_offline/train_cnn_lstm_attr.py,9,KFold
/Users/cba/Desktop/github_datascience_code/download_code/DLLXW_data-science-competition/heywhale/gaiic2022/code/qyl_offline/train_bert_tuwen.py,6,KFold
/Users/cba/Desktop/github_datascience_code/download_code/DLLXW_data-science-competition/heywhale/gaiic2022/baseline/train.py,8,train_test_split
/Users/cba/Desktop/github_datascience_code/download_code/DLLXW_data-science-competition/heywhale/gaiic2022/baseline/train.py,12,KFold
/Users/cba/Desktop/github_datascience_code/download_code/DLLXW_data-science-competition/heywhale/gaiic2022/baseline/train_val.py,8,train_test_split
/Users/cba/Desktop/github_datascience_code/download_code/DLLXW_data-science-competition/heywhale/gaiic2022/baseline/train_val.py,12,KFold
/Users/cba/Desktop/github_datascience_code/download_code/DLLXW_data-science-competition/heywhale/LM-Pretrain-Finetune/finetune/dataset.py,7,train_test_split
/Users/cba/Desktop/github_datascience_code/download_code/DLLXW_data-science-competition/heywhale/LM-Pretrain-Finetune/finetune/train.py,10,train_test_split
/Users/cba/Desktop/github_datascience_code/download_code/DLLXW_data-science-competition/heywhale/LM-Pretrain-Finetune/GPT-2/dataset.py,7,train_test_split
/Users/cba/Desktop/github_datascience_code/download_code/DLLXW_data-science-competition/heywhale/LM-Pretrain-Finetune/GPT-2/train.py,9,train_test_split
/Users/cba/Desktop/github_datascience_code/download_code/DLLXW_data-science-competition/huawei/BDC-2020/nn/qyl_nn.py,8,MinMaxScaler
/Users/cba/Desktop/github_datascience_code/download_code/DLLXW_data-science-competition/huawei/DIGIX2020校园大赛图像检索/train_arcLoss.py,7,accuracy_score
/Users/cba/Desktop/github_datascience_code/download_code/DLLXW_data-science-competition/huawei/Huawei-cloud-垃圾分类/train.py,8,accuracy_score
/Users/cba/Desktop/github_datascience_code/download_code/DLLXW_data-science-competition/kaggle/Cassava Leaf Disease Classification/train_fix.py,2,StratifiedKFold
/Users/cba/Desktop/github_datascience_code/download_code/DLLXW_data-science-competition/kaggle/Cassava Leaf Disease Classification/train_fix.py,30,log_loss
/Users/cba/Desktop/github_datascience_code/download_code/DLLXW_data-science-competition/kaggle/Cassava Leaf Disease Classification/test.py,2,StratifiedKFold
/Users/cba/Desktop/github_datascience_code/download_code/DLLXW_data-science-competition/kaggle/Cassava Leaf Disease Classification/test.py,26,log_loss
/Users/cba/Desktop/github_datascience_code/download_code/DLLXW_data-science-competition/kaggle/Cassava Leaf Disease Classification/test.py,34,log_loss
/Users/cba/Desktop/github_datascience_code/download_code/DLLXW_data-science-competition/kaggle/Cassava Leaf Disease Classification/train.py,2,StratifiedKFold
/Users/cba/Desktop/github_datascience_code/download_code/DLLXW_data-science-competition/kaggle/Cassava Leaf Disease Classification/train.py,30,log_loss
/Users/cba/Desktop/github_datascience_code/download_code/DLLXW_data-science-competition/kaggle/shopee/train_swin.py,10,LabelEncoder
/Users/cba/Desktop/github_datascience_code/download_code/DLLXW_data-science-competition/kaggle/shopee/train.py,10,LabelEncoder
/Users/cba/Desktop/github_datascience_code/download_code/DLLXW_data-science-competition/else/wechat2021/deepfm.py,5,MinMaxScaler
/Users/cba/Desktop/github_datascience_code/download_code/DLLXW_data-science-competition/else/wechat2021/deep_model.py,6,MinMaxScaler
/Users/cba/Desktop/github_datascience_code/download_code/DLLXW_data-science-competition/else/wechat2021/evaluation.py,11,roc_auc_score
/Users/cba/Desktop/github_datascience_code/download_code/DLLXW_data-science-competition/else/wechat2021/PCA.py,1,PCA
/Users/cba/Desktop/github_datascience_code/download_code/DLLXW_data-science-competition/else/wechat2021/lgb.py,7,LabelEncoder
/Users/cba/Desktop/github_datascience_code/download_code/DLLXW_data-science-competition/else/Chick-Counting/counting/train_kfold.py,7,StratifiedKFold
/Users/cba/Desktop/github_datascience_code/download_code/DLLXW_data-science-competition/else/招商银行2021FinTech/lgb_day_timeSeries.py,5,KFold
/Users/cba/Desktop/github_datascience_code/download_code/DLLXW_data-science-competition/else/招商银行2021FinTech/lgb_day_timeSeries.py,6,mean_squared_error
/Users/cba/Desktop/github_datascience_code/download_code/DLLXW_data-science-competition/else/招商银行2021FinTech/lgb_half_hour_LB_0.262.py,12,KFold
/Users/cba/Desktop/github_datascience_code/download_code/DLLXW_data-science-competition/else/招商银行2021FinTech/lgb_half_hour_LB_0.262.py,13,mean_squared_error
/Users/cba/Desktop/github_datascience_code/download_code/DLLXW_data-science-competition/else/招商银行2021FinTech/lgb_day_LB_0.117.py,5,KFold
/Users/cba/Desktop/github_datascience_code/download_code/DLLXW_data-science-competition/else/招商银行2021FinTech/lgb_day_LB_0.117.py,6,mean_squared_error
/Users/cba/Desktop/github_datascience_code/download_code/DLLXW_data-science-competition/else/招商银行2021FinTech/lgb_half_hour_timeSeries.py,5,KFold
/Users/cba/Desktop/github_datascience_code/download_code/DLLXW_data-science-competition/else/招商银行2021FinTech/lgb_half_hour_timeSeries.py,6,mean_squared_error
/Users/cba/Desktop/github_datascience_code/download_code/DLLXW_data-science-competition/else/天马杯--AI+z智能质检/code/datasets/tianma_cup/bayes.py,6,accuracy_score
/Users/cba/Desktop/github_datascience_code/download_code/DLLXW_data-science-competition/else/data_lake/car/train.py,5,KFold
/Users/cba/Desktop/github_datascience_code/download_code/DLLXW_data-science-competition/else/data_lake/car/train.py,28,f1_score
/Users/cba/Desktop/github_datascience_code/download_code/DLLXW_data-science-competition/else/data_lake/person/train.py,5,KFold
/Users/cba/Desktop/github_datascience_code/download_code/DLLXW_data-science-competition/else/data_lake/person/train.py,25,f1_score
/Users/cba/Desktop/github_datascience_code/download_code/DLLXW_data-science-competition/dc/公积金贷款逾期预测/get_frts.py,4,LabelEncoder
/Users/cba/Desktop/github_datascience_code/download_code/DLLXW_data-science-competition/dc/公积金贷款逾期预测/featureSelect.py,3,train_test_split
/Users/cba/Desktop/github_datascience_code/download_code/DLLXW_data-science-competition/dc/公积金贷款逾期预测/lgb.py,4,StratifiedKFold
/Users/cba/Desktop/github_datascience_code/download_code/DLLXW_data-science-competition/dc/公积金贷款逾期预测/lgb.py,6,log_loss
/Users/cba/Desktop/github_datascience_code/download_code/DLLXW_data-science-competition/dc/one-city编程大赛/fastText/fastText.py,8,train_test_split
/Users/cba/Desktop/github_datascience_code/download_code/DLLXW_data-science-competition/dc/one-city编程大赛/fastText/fastText.py,12,StratifiedKFold
/Users/cba/Desktop/github_datascience_code/download_code/DLLXW_data-science-competition/dc/one-city编程大赛/bert/code/warmup_train.py,5,train_test_split
/Users/cba/Desktop/github_datascience_code/download_code/DLLXW_data-science-competition/dc/one-city编程大赛/bert/code/warmup_train.py,8,accuracy_score
/Users/cba/Desktop/github_datascience_code/download_code/DLLXW_data-science-competition/dc/one-city编程大赛/bert/code/train.py,5,train_test_split
/Users/cba/Desktop/github_datascience_code/download_code/DLLXW_data-science-competition/dc/one-city编程大赛/bert/code/train.py,8,accuracy_score
/Users/cba/Desktop/github_datascience_code/download_code/DLLXW_data-science-competition/dc/one-city编程大赛/bert/code/train_kfold.py,5,train_test_split
/Users/cba/Desktop/github_datascience_code/download_code/DLLXW_data-science-competition/dc/one-city编程大赛/bert/code/train_kfold.py,8,accuracy_score
/Users/cba/Desktop/github_datascience_code/download_code/DLLXW_data-science-competition/dc/one-city编程大赛/bert/code/train_kfold.py,17,StratifiedKFold
/Users/cba/Desktop/github_datascience_code/download_code/DLLXW_data-science-competition/tianchi/天池-智慧海洋/单模testB0.874.py,3,StratifiedKFold
/Users/cba/Desktop/github_datascience_code/download_code/DLLXW_data-science-competition/tianchi/天池-智慧海洋/单模testB0.874.py,4,train_test_split
/Users/cba/Desktop/github_datascience_code/download_code/DLLXW_data-science-competition/tianchi/天池-智慧海洋/单模testB0.874.py,5,f1_score
/Users/cba/Desktop/github_datascience_code/download_code/DLLXW_data-science-competition/tianchi/天池-智慧海洋/单模testB0.874.py,6,RandomForestClassifier
/Users/cba/Desktop/github_datascience_code/download_code/DLLXW_data-science-competition/tianchi/医学影像报告异常检测/train.py,7,train_test_split
/Users/cba/Desktop/github_datascience_code/download_code/DLLXW_data-science-competition/tianchi/医学影像报告异常检测/train.py,11,StratifiedKFold
/Users/cba/Desktop/github_datascience_code/download_code/DLLXW_data-science-competition/tianchi/2022CVPR-petBiometricChalenge/train_siamese.py,4,roc_auc_score
/Users/cba/Desktop/github_datascience_code/download_code/DLLXW_data-science-competition/tianchi/2022CVPR-petBiometricChalenge/train_siamese.py,6,KFold
/Users/cba/Desktop/github_datascience_code/download_code/DLLXW_data-science-competition/tianchi/2022CVPR-petBiometricChalenge/train_ct.py,4,roc_auc_score
/Users/cba/Desktop/github_datascience_code/download_code/DLLXW_data-science-competition/tianchi/2022CVPR-petBiometricChalenge/train_ct.py,6,KFold
/Users/cba/Desktop/github_datascience_code/download_code/DLLXW_data-science-competition/tianchi/2022CVPR-petBiometricChalenge/train_triple.py,4,roc_auc_score
/Users/cba/Desktop/github_datascience_code/download_code/DLLXW_data-science-competition/tianchi/2022CVPR-petBiometricChalenge/train_triple.py,6,KFold
/Users/cba/Desktop/github_datascience_code/download_code/DLLXW_data-science-competition/tianchi/2021-AI-Earth/train.py,14,mean_squared_error
/Users/cba/Desktop/github_datascience_code/download_code/DLLXW_data-science-competition/tianchi/Sunspot/merge_model.py,2,precision_recall_fscore_support
/Users/cba/Desktop/github_datascience_code/download_code/DLLXW_data-science-competition/tianchi/Sunspot/infer.py,11,precision_recall_fscore_support
/Users/cba/Desktop/github_datascience_code/download_code/DLLXW_data-science-competition/tianchi/Sunspot/trainKfold.py,14,accuracy_score
/Users/cba/Desktop/github_datascience_code/download_code/DLLXW_data-science-competition/tianchi/高德地图/Xception_Lgb_roundB.py,7,log_loss
/Users/cba/Desktop/github_datascience_code/download_code/DLLXW_data-science-competition/tianchi/高德地图/Xception_Lgb_roundB.py,8,KFold
/Users/cba/Desktop/github_datascience_code/download_code/DLLXW_data-science-competition/tianchi/高德地图/Xception_Lgb_roundB.py,11,accuracy_score
/Users/cba/Desktop/github_datascience_code/download_code/DLLXW_data-science-competition/tianchi/高德地图/mmdetectionForGaode/1019_infer.py,11,f1_score
/Users/cba/Desktop/github_datascience_code/download_code/DLLXW_data-science-competition/tianchi/高德地图/mmdetectionForGaode/1019_infer.py,13,StratifiedKFold
/Users/cba/Desktop/github_datascience_code/download_code/DLLXW_data-science-competition/tianchi/高德地图/mmdetectionForGaode/1019_infer.py,14,precision_recall_fscore_support
/Users/cba/Desktop/github_datascience_code/download_code/DLLXW_data-science-competition/tianchi/高德地图/classfiyForGaoDe/train_cosine.py,7,precision_recall_fscore_support
/Users/cba/Desktop/github_datascience_code/download_code/DLLXW_data-science-competition/tianchi/高德地图/classfiyForGaoDe/train_xception.py,7,precision_recall_fscore_support
/Users/cba/Desktop/github_datascience_code/download_code/DLLXW_data-science-competition/tianchi/高德地图/classfiyForGaoDe/train_arcLoss.py,7,precision_recall_fscore_support
/Users/cba/Desktop/github_datascience_code/download_code/DLLXW_data-science-competition/datafountain/CCF2020-非法集资/post_process/merge_model.py,3,accuracy_score
/Users/cba/Desktop/github_datascience_code/download_code/DLLXW_data-science-competition/datafountain/CCF2020-非法集资/utils/get_frt.py,11,TfidfTransformer
/Users/cba/Desktop/github_datascience_code/download_code/DLLXW_data-science-competition/datafountain/CCF2020-非法集资/utils/get_frt.py,12,CountVectorizer
/Users/cba/Desktop/github_datascience_code/download_code/DLLXW_data-science-competition/datafountain/CCF2020-非法集资/utils/helpers.py,1,recall_score
/Users/cba/Desktop/github_datascience_code/download_code/DLLXW_data-science-competition/datafountain/CCF2020-非法集资/utils/helpers.py,2,StratifiedKFold
/Users/cba/Desktop/github_datascience_code/download_code/DLLXW_data-science-competition/datafountain/CCF2020-非法集资/models/cab.py,2,GridSearchCV
/Users/cba/Desktop/github_datascience_code/download_code/DLLXW_data-science-competition/datafountain/CCF2020-非法集资/models/cab.py,6,StratifiedKFold
/Users/cba/Desktop/github_datascience_code/download_code/DLLXW_data-science-competition/datafountain/CCF2020-非法集资/models/pseudo.py,1,GridSearchCV
/Users/cba/Desktop/github_datascience_code/download_code/DLLXW_data-science-competition/datafountain/CCF2020-非法集资/models/pseudo.py,6,StratifiedKFold
/Users/cba/Desktop/github_datascience_code/download_code/DLLXW_data-science-competition/datafountain/CCF2020-非法集资/models/lgb.py,2,GridSearchCV
/Users/cba/Desktop/github_datascience_code/download_code/DLLXW_data-science-competition/datafountain/CCF2020-非法集资/models/lgb.py,7,StratifiedKFold
/Users/cba/Desktop/github_datascience_code/download_code/DLLXW_data-science-competition/datafountain/CCF2020-非法集资/models/stacking.py,5,StratifiedKFold
/Users/cba/Desktop/github_datascience_code/download_code/DLLXW_data-science-competition/datafountain/CCF2020-非法集资/models/stacking.py,7,
/Users/cba/Desktop/github_datascience_code/download_code/DLLXW_data-science-competition/datafountain/CCF2020-非法集资/models/xgb.py,2,GridSearchCV
/Users/cba/Desktop/github_datascience_code/download_code/DLLXW_data-science-competition/datafountain/CCF2020-非法集资/models/xgb.py,6,StratifiedKFold
/Users/cba/Desktop/github_datascience_code/download_code/DLLXW_data-science-competition/datafountain/CCF2020-非法集资/models/compare.py,3,accuracy_score
/Users/cba/Desktop/github_datascience_code/download_code/PacktPublishing_Building-Data-Science-Applications-with-FastAPI/tests/test_chapter13.py,7,Pipeline
/Users/cba/Desktop/github_datascience_code/download_code/PacktPublishing_Building-Data-Science-Applications-with-FastAPI/chapter13/chapter13_prediction_endpoint.py,7,Pipeline
